tsi,wsi,station_name,CountryArea,TTAAii_CCCC
6655,0-20000-0-06655,ENGELBERG,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6656,0-20000-0-06656,BRIENZ,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6657,0-20000-0-06657,GISWIL,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6659,0-20000-0-06659,PILATUS,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6660,0-20000-0-06660,ZUERICH / FLUNTERN,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6662,0-20000-0-06662,"SATTEL, SZ",Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6663,0-20000-0-06663,VALS,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6664,0-20000-0-06664,ZUERICH / AFFOLTERN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6665,0-20000-0-06665,LACHEN / GALGENEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6666,0-20000-0-06666,LEIBSTADT,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6668,0-20000-0-06668,GOESCHENEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6669,0-20000-0-06669,LAEGERN,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6670,0-20000-0-06670,ZUERICH / KLOTEN,Switzerland,"ISMD11LSSW,ISND23LSSW,ISID23LSSW"
6671,0-20000-0-06671,STECKBORN,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6672,0-20000-0-06672,ALTDORF,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6673,0-20000-0-06673,WAEDENSWIL,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6674,0-20000-0-06674,CHAM,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6675,0-20000-0-06675,EINSIEDELN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6676,0-20000-0-06676,OBERAEGERI,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6678,0-20000-0-06678,BISCHOFSZELL,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6679,0-20000-0-06679,AADORF / TAENIKON,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6680,0-20000-0-06680,SAENTIS,Switzerland,"ISND23LSSW,ISMD11LSSW,ISID23LSSW"
6681,0-20000-0-06681,ST. GALLEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6682,0-20000-0-06682,ELM,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6683,0-20000-0-06683,SCHMERIKON,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6685,0-20000-0-06685,GLARUS,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6686,0-20000-0-06686,BAD RAGAZ,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6687,0-20000-0-06687,QUINTEN,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6688,0-20000-0-06688,CRAP MASEGN,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6689,0-20000-0-06689,HOERNLI,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6690,0-20000-0-06690,ALTENRHEIN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6693,0-20000-0-06693,EBNAT-KAPPEL,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6695,0-20000-0-06695,ANDERMATT,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6700,0-20000-0-06700,GENEVE / COINTRIN,Switzerland,"ISND23LSSW,ISMD11LSSW,ISID23LSSW"
6702,0-20000-0-06702,LA DOLE (6702-0),Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6703,0-20000-0-06703,LES CHARBONNIERES,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6704,0-20000-0-06704,BIERE,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6705,0-20000-0-06705,NYON / CHANGINS,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6706,0-20000-0-06706,ST-PREX,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6707,0-20000-0-06707,VILLARS-TIERCELIN,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6708,0-20000-0-06708,ORON,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6709,0-20000-0-06709,BOUVERET,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6710,0-20000-0-06710,COURTELARY,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6711,0-20000-0-06711,PULLY,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6712,0-20000-0-06712,AIGLE,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6713,0-20000-0-06713,COL DES MOSSES,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6714,0-20000-0-06714,LES DIABLERETS,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6715,0-20000-0-06715,EVIONNAZ,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6716,0-20000-0-06716,MOTTEC,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6717,0-20000-0-06717,COL DU GRAND ST-BERNARD,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6720,0-20000-0-06720,SION (6720-0),Switzerland,"ISMD11LSSW,ISND23LSSW,ISID23LSSW"
6721,0-20000-0-06721,BINN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6722,0-20000-0-06722,EVOLENE / VILLA,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6723,0-20000-0-06723,LES ATTELAS,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6724,0-20000-0-06724,MONTANA,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6725,0-20000-0-06725,"BLATTEN, LOETSCHENTAL",Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6727,0-20000-0-06727,VISP,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6728,0-20000-0-06728,GRAECHEN,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6730,0-20000-0-06730,JUNGFRAUJOCH,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6731,0-20000-0-06731,THUN,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6733,0-20000-0-06733,BOLTIGEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6734,0-20000-0-06734,INTERLAKEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6735,0-20000-0-06735,ADELBODEN,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6739,0-20000-0-06739,EGGISHORN,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6740,0-20000-0-06740,TITLIS,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6744,0-20000-0-06744,GRIMSEL HOSPIZ,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6745,0-20000-0-06745,ULRICHEN,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6747,0-20000-0-06747,MONTE ROSA,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6748,0-20000-0-06748,ZERMATT,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6749,0-20000-0-06749,GORNERGRAT,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6750,0-20000-0-06750,"GUETSCH, ANDERMATT",Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6751,0-20000-0-06751,ROBIEI,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6752,0-20000-0-06752,CEVIO,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6753,0-20000-0-06753,PIOTTA,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6754,0-20000-0-06754,MATRO,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6756,0-20000-0-06756,ACQUAROSSA / COMPROVASCO,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6758,0-20000-0-06758,GRONO,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6759,0-20000-0-06759,CIMETTA,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6760,0-20000-0-06760,LOCARNO / MONTI,Switzerland,"ISMD11LSSW,ISND23LSSW,ISID23LSSW"
6762,0-20000-0-06762,MAGADINO / CADENAZZO,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6770,0-20000-0-06770,LUGANO,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6771,0-20000-0-06771,STABIO,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6774,0-20000-0-06774,BIVIO,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6777,0-20000-0-06777,MONTE GENEROSO,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6778,0-20000-0-06778,BUFFALORA,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6779,0-20000-0-06779,SEGL-MARIA,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6780,0-20000-0-06780,WEISSFLUHJOCH,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6782,0-20000-0-06782,DISENTIS,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6783,0-20000-0-06783,S. BERNARDINO,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6784,0-20000-0-06784,DAVOS,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6785,0-20000-0-06785,AROSA,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6786,0-20000-0-06786,CHUR,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6787,0-20000-0-06787,ANDEER,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6788,0-20000-0-06788,VICOSOPRANO,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD23LSSW"
6789,0-20000-0-06789,ILANZ,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6790,0-20000-0-06790,SCHIERS,Switzerland,"ISID23LSSW,ISMD23LSSW,ISND23LSSW"
6791,0-20000-0-06791,PIZ CORVATSCH,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6792,0-20000-0-06792,SAMEDAN,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6793,0-20000-0-06793,VALBELLA,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6794,0-20000-0-06794,POSCHIAVO / ROBBIA,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6795,0-20000-0-06795,PIZ MARTEGNAS,Switzerland,"ISND23LSSW,ISMD23LSSW,ISID23LSSW"
6796,0-20000-0-06796,"STA. MARIA, VAL MUESTAIR",Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6797,0-20000-0-06797,PASSO DEL BERNINA,Switzerland,"ISMD23LSSW,ISND23LSSW,ISID23LSSW"
6798,0-20000-0-06798,SCUOL,Switzerland,"ISMD23LSSW,ISID23LSSW,ISND23LSSW"
6799,0-20000-0-06799,NALUNS / SCHLIVERA,Switzerland,"ISND23LSSW,ISID23LSSW,ISMD23LSSW"
6990,0-20000-0-06990,VADUZ,Switzerland,"ISID23LSSW,ISND23LSSW,ISMD11LSSW"
81615,0-20000-0-81615,BOA VISTA (81615-0),Brazil,ISAI01SBBR
81680,0-20000-0-81680,BELEM (81680-0),Brazil,ISAI01SBBR
81682,0-20000-0-81682,CASTANHAL,Brazil,ISAI01SBBR
81715,0-20000-0-81715,SAO LUIS,Brazil,ISAI01SBBR
81730,0-20000-0-81730,MANAUS (81730-0),Brazil,ISAI01SBBR
81758,0-20000-0-81758,FORTALEZA (81758-0),Brazil,ISAI01SBBR
81774,0-20000-0-81774,SAO GONCALO (81774-0),Brazil,ISAI01SBBR
81778,0-20000-0-81778,ITAITUBA (81778-0),Brazil,ISAI01SBBR
81794,0-20000-0-81794,PIRIPIRI (81794-0),Brazil,ISAI01SBBR
81820,0-20000-0-81820,MARABA (81820-0),Brazil,ISAI01SBBR
81830,0-20000-0-81830,CRATEUS (81830-0),Brazil,ISAI01SBBR
81839,0-20000-0-81839,NATAL (81839-0),Brazil,ISAI01SBBR
81872,0-20000-0-81872,TAUA (81872-0),Brazil,ISAI01SBBR
81875,0-20000-0-81875,CAICO,Brazil,ISAI01SBBR
81908,0-20000-0-81908,PICOS (81908-0),Brazil,ISAI01SBBR
81913,0-20000-0-81913,PATOS (81913-0),Brazil,ISAI01SBBR
81918,0-20000-0-81918,JOAO PESSOA (81918-0),Brazil,ISAI01SBBR
81958,0-20000-0-81958,RECIFE (81958-0),Brazil,ISAI01SBBR
81992,0-20000-0-81992,UAUA,Brazil,ISAI01SBBR
81994,0-20000-0-81994,PAO DE ACUCAR (81994-0),Brazil,ISAI01SBBR
81995,0-20000-0-81995,PALMEIRA DOS INDIOS (81995-0),Brazil,ISAI01SBBR
81998,0-20000-0-81998,MACEIO (81998-0),Brazil,ISAI01SBBR
84370,0-20000-0-84370,TUMBES,Peru,"ISNI01SPIM,ISMI01SPIM,ISME01SPIM,ISIE01SPIM"
84401,0-20000-0-84401,PIURA,Peru,"ISII01SPIM,ISMI01SPIM,ISME01SPIM,ISNI01SPIM,ISIE01SPIM"
84425,0-20000-0-84425,YURIMAGUAS,Peru,"ISMI01SPIM,ISII01SPIM,ISME01SPIM,ISNI01SPIM,ISIE01SPIM"
84444,0-20000-0-84444,CHACHAPOYAS,Peru,"ISMI01SPIM,ISNI01SPIM,ISME01SPIM"
84455,0-20000-0-84455,TARAPOTO,Peru,"ISII01SPIM,ISME01SPIM,ISMI01SPIM,ISIE01SPIM,ISNI01SPIM"
84472,0-20000-0-84472,CAJAMARCA,Peru,"ISIE01SPIM,ISMI01SPIM,ISME01SPIM,ISII01SPIM,ISNI01SPIM"
84474,0-20000-0-84474,JUANJUI,Peru,"ISMI01SPIM,ISME01SPIM"
84515,0-20000-0-84515,PUCALLPA,Peru,"ISME01SPIM,ISNI01SPIM,ISII01SPIM,ISMI01SPIM,ISIE01SPIM"
84531,0-20000-0-84531,CHIMBOTE,Peru,"ISMI01SPIM,ISME01SPIM"
84534,0-20000-0-84534,TINGO MARIA,Peru,"ISME01SPIM,ISMI01SPIM,ISII01SPIM,ISIE01SPIM,ISNI01SPIM"
84542,0-20000-0-84542,ANTA/HUARAZ,Peru,"ISME01SPIM,ISMI01SPIM,ISNI01SPIM"
84564,0-20000-0-84564,HUANUCO,Peru,"ISNI01SPIM,ISII01SPIM,ISMI01SPIM,ISME01SPIM"
84658,0-20000-0-84658,PUERTO MALDONADO,Peru,"ISME01SPIM,ISMI01SPIM,ISNI01SPIM"
84688,0-20000-0-84688,ANDAHUAYLAS,Peru,"ISME01SPIM,ISMI01SPIM"
84752,0-20000-0-84752,AREQUIPA,Peru,"ISMI01SPIM,ISII01SPIM,ISNI01SPIM"
84782,0-20000-0-84782,TACNA,Peru,"ISMI01SPIM,ISII01SPIM,ISNI01SPIM"
85223,0-20000-0-85223,COCHABAMBA,Bolivia,ISMI04SLLP
85264,0-20000-0-85264,VALLEGRANDE,Bolivia,ISMI04SLLP
85268,0-20000-0-85268,ROBORE,Bolivia,ISMI04SLLP
85293,0-20000-0-85293,POTOSI,Bolivia,ISMI04SLLP
85312,0-20000-0-85312,MONTEAGUDO,Bolivia,ISMI04SLLP
85315,0-20000-0-85315,CAMIRI,Bolivia,ISMI04SLLP
85345,0-20000-0-85345,VILLAMONTES,Bolivia,ISMI04SLLP
85364,0-20000-0-85364,TARIJA,Bolivia,ISMI04SLLP
85365,0-20000-0-85365,YACUIBA,Bolivia,ISMI04SLLP
86033,0-20000-0-86033,BAHIA NEGRA,Paraguay,"ISMI01SGAS,ISMX86SBBR,ISII01SGAS,ISMI86SBBR"
86033,0-20000-0-86033,BAHIA NEGRA,Paraguay,"ISMI01SGAS,ISII01SGAS"
86033,0-20000-0-86033,BAHIA NEGRA,Paraguay,"ISII01SGAS,ISMI01SGAS"
86068,0-20000-0-86068,MARISCAL ESTIGARRIBIA,Paraguay,"ISII01SGAS,ISMI01SGAS,ISMX86SBBR,ISMI02SLLP,ISMI86SBBR"
86068,0-20000-0-86068,MARISCAL ESTIGARRIBIA,Paraguay,"ISII01SGAS,ISMI01SGAS"
86086,0-20000-0-86086,PUERTO CASADO,Paraguay,"ISII01SGAS,ISMX86SBBR,ISMI02SLLP,ISMI01SGAS,ISMI86SBBR"
86086,0-20000-0-86086,PUERTO CASADO,Paraguay,"ISMI01SGAS,ISII01SGAS"
86097,0-20000-0-86097,PEDRO JUAN CABALLERO,Paraguay,"ISMI01SGAS,ISMI02SLLP,ISMX86SBBR,ISII01SGAS,ISMI86SBBR"
86097,0-20000-0-86097,PEDRO JUAN CABALLERO,Paraguay,"ISMI01SGAS,ISII01SGAS"
86128,0-20000-0-86128,POZO COLORADO,Paraguay,"ISMI01SGAS,ISMX86SBBR,ISII01SGAS,ISMI02SLLP"
86128,0-20000-0-86128,POZO COLORADO,Paraguay,"ISMI01SGAS,ISII01SGAS"
86134,0-20000-0-86134,CONCEPCION (86134-0),Paraguay,"ISMI01SGAS,ISII01SGAS,ISMX86SBBR,ISMI02SLLP,ISMI86SBBR"
86134,0-20000-0-86134,CONCEPCION (86134-0),Paraguay,"ISMI01SGAS,ISII01SGAS"
86170,0-20000-0-86170,GRAL. BRUGUEZ,Paraguay,"ISMI01SGAS,ISMX86SBBR,ISMI02SLLP,ISII01SGAS,ISMI86SBBR"
86170,0-20000-0-86170,GRAL. BRUGUEZ,Paraguay,"ISMI01SGAS,ISII01SGAS"
86185,0-20000-0-86185,SAN PEDRO (86185-0),Paraguay,"ISII01SGAS,ISMI01SGAS,ISMX86SBBR,ISMI86SBBR,ISMI02SLLP"
86185,0-20000-0-86185,SAN PEDRO (86185-0),Paraguay,"ISII01SGAS,ISMI01SGAS"
86192,0-20000-0-86192,SAN ESTANISLAO,Paraguay,"ISMI86SBBR,ISII01SGAS,ISMX86SBBR,ISMI01SGAS,ISMI02SLLP"
86192,0-20000-0-86192,SAN ESTANISLAO,Paraguay,"ISII01SGAS,ISMI01SGAS"
86192,0-20000-0-86192,SAN ESTANISLAO,Paraguay,"ISII01SGAS,ISMI01SGAS"
86210,0-20000-0-86210,SALTO DEL GUAIRA,Paraguay,"ISMI02SLLP,ISMI01SGAS,ISMX86SBBR,ISII01SGAS,ISMI86SBBR"
86210,0-20000-0-86210,SALTO DEL GUAIRA,Paraguay,"ISMI01SGAS,ISII01SGAS"
86218,0-20000-0-86218,"AEROPUERTO SILVIO PETTIROSSI, LUQUE",Paraguay,"ISMX86SBBR,ISMI01SGAS,ISII01SGAS,ISMI86SBBR,ISMI02SLLP"
86218,0-20000-0-86218,"AEROPUERTO SILVIO PETTIROSSI, LUQUE",Paraguay,"ISII01SGAS,ISMI01SGAS"
86221,0-20000-0-86221,PARAGUARI,Paraguay,"ISII01SGAS,ISMI01SGAS,ISIX01SGAS,ISMI02SLLP,ISMI00SEQU"
86221,0-20000-0-86221,PARAGUARI,Paraguay,"ISIX01SGAS,ISII01SGAS,ISMI01SGAS"
86233,0-20000-0-86233,VILLARRICA,Paraguay,"ISII01SGAS,ISMX86SBBR,ISMI02SLLP,ISMI86SBBR,ISMI01SGAS,ISMI00SEQU"
86233,0-20000-0-86233,VILLARRICA,Paraguay,"ISII01SGAS,ISMI01SGAS"
86234,0-20000-0-86234,CORONEL OVIEDO,Paraguay,"ISMI01SGAS,ISII01SGAS,ISMX86SBBR,ISMI00SEQU,ISMI02SLLP,ISMI86SBBR"
86234,0-20000-0-86234,CORONEL OVIEDO,Paraguay,"ISII01SGAS,ISMI01SGAS"
86246,0-20000-0-86246,AEROPUERTO INT. GUARANI,Paraguay,"ISMI00SEQU,ISMI01SGAS,ISMX86SBBR,ISII01SGAS,ISMI02SLLP,ISMI86SBBR"
86246,0-20000-0-86246,AEROPUERTO INT. GUARANI,Paraguay,"ISII01SGAS,ISMI01SGAS"
86255,0-20000-0-86255,PILAR,Paraguay,"ISII01SGAS,ISMI02SLLP,ISMI01SGAS,ISMX86SBBR,ISMI86SBBR,ISMI00SEQU"
86255,0-20000-0-86255,PILAR,Paraguay,"ISII01SGAS,ISMI01SGAS"
86260,0-20000-0-86260,SAN JUAN BAUTISTA,Paraguay,"ISMI01SGAS,ISII01SGAS"
86260,0-20000-0-86260,SAN JUAN BAUTISTA,Paraguay,"ISMI01SGAS,ISII01SGAS"
86268,0-20000-0-86268,CAAZAPA,Paraguay,"ISMI01SGAS,ISMI02SLLP,ISII01SGAS,ISMX86SBBR,ISMI00SEQU,ISMI86SBBR"
86268,0-20000-0-86268,CAAZAPA,Paraguay,"ISII01SGAS,ISMI01SGAS"
86285,0-20000-0-86285,CAPITAN MEZA,Paraguay,"ISII01SGAS,ISMI01SGAS,ISMX86SBBR,ISMI00SEQU,ISMI02SLLP,ISMI86SBBR"
86285,0-20000-0-86285,CAPITAN MEZA,Paraguay,"ISII01SGAS,ISMI01SGAS"
86285,0-20000-0-86285,CAPITAN MEZA,Paraguay,"ISII01SGAS,ISMI01SGAS"
